analysis,n,n_af,n_afl,threshold,acc,acc_ci95,afl_precision,afl_precision_ci95,afl_recall,afl_recall_ci95,afl_f1,afl_f1_ci95,macro_f1,macro_f1_ci95
ptbxl_external_split_first,104,48,56,0.5527999997138977,0.6730769230769231,"0.673 [0.587, 0.760]",0.7894736842105055,"0.789 [0.657, 0.914]",0.5357142857142762,"0.536 [0.400, 0.667]",0.6382978723399303,"0.638 [0.517, 0.745]",0.6700261241772048,"0.670 [0.577, 0.759]"
ptbxl_external_legacy,104,48,56,0.519599974155426,0.7019230769230769,"0.702 [0.615, 0.788]",0.8048780487804681,"0.805 [0.681, 0.920]",0.5892857142857038,"0.589 [0.459, 0.720]",0.6804123711335185,"0.680 [0.562, 0.783]",0.7005665408977324,"0.701 [0.608, 0.787]"
