group,n,fuzzy_logit_af_mean,fuzzy_logit_afl_mean,fuzzy_logit_afl_minus_af_mean,fuzzy_p_afl_mean,fuzzy_p_afl_median
AF,5217,-0.9461558510231428,-3.5162390889005457,-2.570083237877403,0.09752163081042042,0.06463270634412766
AFL,1518,-3.106230149371979,-2.2966497499441756,0.8095803994278035,0.4782659719153326,0.3120693117380142
Clean AFL,1112,-3.4247767702549052,-2.430477230400919,0.9942995398539862,0.489176970280928,0.23249918967485428
Noisy AFL,406,-2.233757631091649,-1.9301074882005822,0.3036501428910664,0.4483816611208939,0.33569981157779694
