subgroup,n_afl,afl_recall,afl_recall_ci95,mean_p_afl,median_p_afl
Clean AFL,1112,0.6025179624557495,"0.603 [0.575, 0.633]",0.5639169216156006,0.6148504614830017
Noisy AFL augmentation,406,0.802955687046051,"0.803 [0.764, 0.840]",0.6737990975379944,0.7683074474334717
