bootstrap,AFL_f1_12lead,AFL_f1_II_V1,delta
0,0.8922558922558923,0.9109947643979057,0.01873887214201342
1,0.9063545150501672,0.9244288224956063,0.01807430744543914
2,0.882943143812709,0.8920353982300885,0.009092254417379486
3,0.9117174959871589,0.9125214408233276,0.0008039448361687462
4,0.9013157894736842,0.9156626506024096,0.014346861128725408
5,0.890282131661442,0.912106135986733,0.02182400432529097
6,0.8945578231292517,0.8896672504378283,-0.004890572691423345
7,0.9021558872305141,0.8996539792387543,-0.0025019079917597553
8,0.9022082018927445,0.897822445561139,-0.004385756331605539
9,0.8933333333333333,0.9154929577464789,0.022159624413145562
10,0.887459807073955,0.9008403361344538,0.013380529060498803
11,0.889261744966443,0.8961937716262975,0.006932026659854595
12,0.8809135399673735,0.9015025041736227,0.020588964206249116
13,0.8814691151919867,0.9044368600682594,0.022967744876272733
14,0.9038785834738617,0.9119718309859155,0.008093247512053758
15,0.9121212121212121,0.8987341772151899,-0.013387034906022222
16,0.8977635782747604,0.907563025210084,0.009799446935323641
17,0.9196850393700787,0.9154704944178629,-0.0042145449522158485
18,0.8681135225375626,0.8833922261484098,0.015278703610847266
19,0.8789808917197452,0.8957264957264958,0.016745604006750514
20,0.8786885245901639,0.9087779690189329,0.03008944442876904
21,0.8745762711864407,0.8797127468581688,0.005136475671728147
22,0.8752136752136752,0.8843283582089553,0.009114682995280066
23,0.8888888888888888,0.9119718309859155,0.02308294209702666
24,0.8928,0.9212730318257957,0.028473031825795636
25,0.8837209302325582,0.89198606271777,0.008265132485211879
26,0.8930390492359932,0.9090909090909091,0.016051859854915862
27,0.831304347826087,0.8780487804878049,0.046744432661717905
28,0.8877005347593583,0.9070208728652751,0.019320338105916823
29,0.9188311688311688,0.910958904109589,-0.007872264721579758
30,0.9096573208722741,0.9258064516129032,0.01614913074062907
31,0.8903225806451613,0.8831615120274914,-0.007161068617669963
32,0.8656195462478184,0.8897196261682243,0.02410007992040586
33,0.8986928104575164,0.8737201365187713,-0.024972673938745027
34,0.9099836333878887,0.9211908931698775,0.011207259781988776
35,0.9029275808936826,0.8986928104575164,-0.004234770436166269
36,0.9059011164274322,0.9057851239669421,-0.0001159924604900997
37,0.8848080133555927,0.9052631578947369,0.02045514453914421
38,0.8930390492359932,0.8900523560209425,-0.0029866932150507397
39,0.9062980030721967,0.9176090468497576,0.01131104377756098
40,0.8786885245901639,0.9055944055944056,0.02690588100424174
41,0.8656716417910447,0.8880994671403197,0.02242782534927501
42,0.9,0.8938356164383562,-0.006164383561643838
43,0.8826446280991735,0.9084628670120898,0.025818238912916236
44,0.8932038834951457,0.8858131487889274,-0.007390734706218316
45,0.8896,0.9015025041736227,0.011902504173622708
46,0.8743718592964824,0.8884955752212389,0.014123715924756475
47,0.9211746522411128,0.9131832797427653,-0.007991372498347582
48,0.8913385826771654,0.9006622516556292,0.009323668978463817
49,0.9065420560747663,0.9174917491749175,0.010949693100151148
50,0.8806451612903226,0.8964346349745331,0.015789473684210575
51,0.9071803852889667,0.8808664259927798,-0.02631395929618696
52,0.9,0.9115646258503401,0.011564625850340127
53,0.8960244648318043,0.9149277688603531,0.018903304028548784
54,0.89375,0.8932676518883416,-0.00048234811165848157
55,0.8794788273615635,0.8960817717206133,0.016602944359049854
56,0.8896321070234113,0.9057971014492754,0.016164994425864054
57,0.8871224165341812,0.8758169934640523,-0.01130542307012894
58,0.8801369863013698,0.8928571428571429,0.012720156555773077
59,0.8888888888888888,0.9020979020979021,0.013209013209013243
60,0.9070146818923328,0.9087837837837838,0.0017691018914509637
61,0.8944723618090452,0.8873483535528596,-0.007124008256185643
62,0.9105180533751962,0.912106135986733,0.0015880826115367563
63,0.8934817170111288,0.9057239057239057,0.012242188712776936
64,0.8939641109298532,0.9013605442176871,0.007396433287833903
65,0.8991735537190083,0.9035532994923858,0.004379745773377519
66,0.8948247078464107,0.887719298245614,-0.007105409600796642
67,0.8977635782747604,0.8979591836734694,0.00019560539870899785
68,0.8783783783783784,0.8952042628774423,0.01682588449906386
69,0.8998410174880763,0.8963210702341137,-0.003519947253962652
70,0.8903225806451613,0.886986301369863,-0.0033362792752983372
71,0.9039735099337748,0.9054054054054054,0.0014318954716305843
72,0.8996655518394648,0.903448275862069,0.003782724022604156
73,0.8838709677419355,0.879045996592845,-0.004824971149090529
74,0.8935483870967742,0.9172413793103448,0.023692992213570574
75,0.9061488673139159,0.9266666666666666,0.020517799352750776
76,0.8660130718954249,0.8982456140350877,0.03223254213966287
77,0.8828250401284109,0.9162393162393162,0.033414276110905305
78,0.9133858267716536,0.9055374592833876,-0.007848367488266006
79,0.8896551724137931,0.8944543828264758,0.0047992104126827195
80,0.8942307692307693,0.9047619047619048,0.010531135531135494
81,0.8833333333333333,0.8892857142857142,0.005952380952380931
82,0.8688783570300158,0.9081803005008348,0.039301943470818945
83,0.8793103448275862,0.8828828828828829,0.00357253805529667
84,0.896551724137931,0.9182608695652174,0.021709145427286303
85,0.8844884488448845,0.9192982456140351,0.034809796769150525
86,0.8874172185430463,0.8984509466437177,0.01103372810067138
87,0.8911917098445595,0.9097472924187726,0.01855558257421308
88,0.8873483535528596,0.896551724137931,0.00920337058507148
89,0.8987341772151899,0.91,0.011265822784810142
90,0.8857142857142857,0.8793388429752066,-0.006375442739079085
91,0.9003322259136213,0.9110320284697508,0.010699802556129567
92,0.8998357963875205,0.9233390119250426,0.023503215537522104
93,0.8838709677419355,0.8854700854700854,0.0015991177281499125
94,0.8820678513731826,0.8983050847457628,0.016237233372580206
95,0.8763693270735524,0.9159802306425041,0.039610903568951694
96,0.8998357963875205,0.9159519725557461,0.016116176168225582
97,0.8943089430894309,0.9078726968174204,0.01356375372798957
98,0.9178743961352657,0.9355371900826446,0.017662793947378908
99,0.8832335329341318,0.909967845659164,0.02673431272503224
100,0.8932038834951457,0.9121621621621622,0.018958278667016493
101,0.8794567062818336,0.9119718309859155,0.03251512470408191
102,0.896875,0.9064039408866995,0.009528940886699533
103,0.8844221105527639,0.8798586572438163,-0.004563453308947585
104,0.8852988691437803,0.9059233449477352,0.020624475803954878
105,0.864321608040201,0.8964285714285715,0.03210696338837049
106,0.8839427662957074,0.9072512647554806,0.02330849845977312
107,0.8977635782747604,0.9008403361344538,0.003076757859693413
108,0.8860353130016051,0.899488926746167,0.013453613744561888
109,0.8896,0.9148580968280468,0.025258096828046805
110,0.8998357963875205,0.906896551724138,0.00706075533661743
111,0.8756388415672913,0.8916967509025271,0.016057909335235765
112,0.9139072847682119,0.9217391304347826,0.007831845666570691
113,0.8940397350993378,0.9219858156028369,0.027946080503499116
114,0.8986486486486487,0.91005291005291,0.011404261404261318
115,0.8809135399673735,0.9,0.019086460032626484
116,0.9011345218800648,0.9217970049916805,0.02066248311161567
117,0.8978328173374613,0.9114331723027376,0.013600354965276229
118,0.8776508972267537,0.8938356164383562,0.016184719211602472
119,0.887459807073955,0.8941176470588236,0.006657839984868574
120,0.9,0.9157894736842105,0.015789473684210464
121,0.8768472906403941,0.9,0.023152709359605894
122,0.8774834437086093,0.8973913043478261,0.01990786063921679
123,0.8925619834710744,0.902229845626072,0.009667862154997597
124,0.9085173501577287,0.8958677685950414,-0.012649581562687362
125,0.8933333333333333,0.8836424957841484,-0.009690837549184872
126,0.8777219430485762,0.8976660682226212,0.01994412517404498
127,0.8913738019169329,0.8918918918918919,0.0005180899749589463
128,0.9119718309859155,0.9104204753199269,-0.0015513556659886296
129,0.8990536277602523,0.914572864321608,0.015519236561355676
130,0.8877374784110535,0.8901303538175046,0.002392875406451056
131,0.9023569023569024,0.8931034482758621,-0.00925345408104028
132,0.8775510204081632,0.8948306595365418,0.0172796391283786
133,0.8993288590604027,0.89419795221843,-0.005130906841972704
134,0.8856682769726248,0.8866328257191202,0.0009645487464953195
135,0.887459807073955,0.9078498293515358,0.0203900222775808
136,0.8904109589041096,0.8994515539305301,0.009040595026420517
137,0.8935483870967742,0.9035532994923858,0.010004912395611631
138,0.8688783570300158,0.9084745762711864,0.03959621924117063
139,0.8790849673202614,0.8942807625649913,0.015195795244729915
140,0.8566610455311973,0.8725314183123878,0.015870372781190523
141,0.9024,0.9165247018739353,0.01412470187393533
142,0.8933333333333333,0.9055944055944056,0.012261072261072314
143,0.8844221105527639,0.9045936395759717,0.020171529023207846
144,0.8807947019867549,0.8904593639575972,0.009664661970842259
145,0.9079754601226994,0.9170731707317074,0.009097710609007992
146,0.9008130081300812,0.875,-0.02581300813008125
147,0.8979591836734694,0.9029126213592233,0.004953437685753959
148,0.8747855917667239,0.8985507246376812,0.023765132870957273
149,0.9016949152542373,0.875219683655536,-0.026475231598701243
150,0.8760330578512396,0.8969072164948454,0.020874158643605756
151,0.917981072555205,0.9265905383360522,0.008609465780847203
152,0.8942307692307693,0.9093959731543624,0.015165203923593107
153,0.8857589984350548,0.8892561983471075,0.003497199912052662
154,0.8971061093247589,0.9066666666666666,0.00956055734190775
155,0.8903436988543372,0.8940754039497307,0.003731705095393556
156,0.8906497622820919,0.8966666666666666,0.006016904384574695
157,0.9035532994923858,0.9110320284697508,0.007478728977365012
158,0.8998459167950693,0.912106135986733,0.012260219191663646
159,0.902027027027027,0.8907849829351536,-0.011242044091873349
160,0.9006622516556292,0.9324324324324325,0.03177018077680327
161,0.8870703764320785,0.8963093145869947,0.009238938154916165
162,0.8877721943048577,0.90625,0.018477805695142346
163,0.8970099667774086,0.8743545611015491,-0.022655405675859552
164,0.8916083916083916,0.8924731182795699,0.0008647266711783175
165,0.8844884488448845,0.9180887372013652,0.033600288356480656
166,0.8600682593856656,0.8716094032549728,0.011541143869307269
167,0.8758169934640523,0.9006849315068494,0.024867938042797078
168,0.8756756756756757,0.9094412331406551,0.033765557464979334
169,0.913312693498452,0.9161290322580645,0.0028163387596125133
170,0.9,0.8870151770657673,-0.012984822934232754
171,0.882661996497373,0.9038112522686026,0.021149255771229614
172,0.8803827751196173,0.9072847682119205,0.026901993092303234
173,0.9022801302931596,0.9037800687285223,0.0014999384353627798
174,0.8840336134453781,0.9055258467023173,0.021492233256939164
175,0.9001536098310292,0.9084967320261438,0.008343122195114572
176,0.8773109243697479,0.8892794376098418,0.011968513240093959
177,0.9058441558441559,0.8986486486486487,-0.007195507195507211
178,0.8741721854304636,0.9097345132743363,0.0355623278438727
179,0.8697123519458545,0.8921389396709324,0.022426587725077884
180,0.8833333333333333,0.8760907504363001,-0.007242582897033167
181,0.8825396825396825,0.9121621621621622,0.02962247962247966
182,0.8785357737104825,0.900709219858156,0.02217344614767347
183,0.8831168831168831,0.9044368600682594,0.02131997695137633
184,0.9024,0.9072847682119205,0.0048847682119205205
185,0.9111470113085622,0.9305555555555556,0.019408544246993342
186,0.9003115264797508,0.898360655737705,-0.0019508707420458071
187,0.896551724137931,0.9153713298791019,0.01881960574117081
188,0.8638655462184874,0.8920863309352518,0.02822078471676437
189,0.8566610455311973,0.8781362007168458,0.021475155185648576
190,0.8874388254486134,0.9001751313485113,0.012736305899897937
191,0.8888888888888888,0.8752136752136752,-0.013675213675213627
192,0.8713550600343053,0.8909090909090909,0.019554030874785577
193,0.8766233766233766,0.9122203098106713,0.03559693318729462
194,0.8952380952380953,0.907563025210084,0.012324929971988752
195,0.8695652173913043,0.9087779690189329,0.039212751627628606
196,0.8944881889763779,0.902027027027027,0.007538838050649033
197,0.8888888888888888,0.9211908931698775,0.03230200428098862
198,0.8717105263157895,0.8677248677248677,-0.0039856585909218145
199,0.8978930307941653,0.9165247018739353,0.01863167107977004
200,0.8866995073891626,0.8862068965517241,-0.0004926108374384564
201,0.8865619546247818,0.8840579710144928,-0.002503983610289029
202,0.9017713365539453,0.9035532994923858,0.0017819629384405733
203,0.867595818815331,0.9077490774907749,0.04015325867544395
204,0.8932038834951457,0.9100169779286927,0.01681309443354706
205,0.8974358974358975,0.8888888888888888,-0.008547008547008628
206,0.9073170731707317,0.8933333333333333,-0.013983739837398423
207,0.8976897689768977,0.9087779690189329,0.011088200042035257
208,0.8930390492359932,0.9065255731922398,0.01348652395624661
209,0.9106239460370995,0.8954703832752613,-0.015153562761838213
210,0.8956661316211878,0.910958904109589,0.015292772488401218
211,0.903125,0.9205834683954619,0.017458468395461946
212,0.9066666666666666,0.8961937716262975,-0.010472895040369079
213,0.919093851132686,0.9207920792079208,0.0016982280752347867
214,0.9102773246329527,0.9065743944636678,-0.0037029301692849126
215,0.8896210873146623,0.9131944444444444,0.023573357129782146
216,0.8866328257191202,0.8908450704225352,0.00421224470341508
217,0.869281045751634,0.88,0.010718954248365997
218,0.8866995073891626,0.90625,0.01955049261083741
219,0.8644939965694682,0.8848920863309353,0.020398089761467064
220,0.8676716917922948,0.8900709219858156,0.022399230193520858
221,0.8877887788778878,0.8923611111111112,0.004572332233223397
222,0.8851913477537438,0.8865979381443299,0.0014065903905861044
223,0.9087893864013267,0.9156626506024096,0.006873264201082918
224,0.901453957996769,0.9087837837837838,0.007329825787014799
225,0.8721311475409836,0.8831615120274914,0.011030364486507738
226,0.8968903436988543,0.896551724137931,-0.00033861956092329226
227,0.8790849673202614,0.9,0.0209150326797386
228,0.884310618066561,0.8904109589041096,0.0061003408375486234
229,0.887459807073955,0.8877551020408163,0.00029529496686131473
230,0.8832807570977917,0.8874388254486134,0.004158068350821664
231,0.8943089430894309,0.872852233676976,-0.021456709412454922
232,0.8795986622073578,0.888507718696398,0.008909056489040168
233,0.9107981220657277,0.9210526315789473,0.0102545095132196
234,0.8881889763779528,0.8859934853420195,-0.0021954910359333057
235,0.8745874587458746,0.8780487804878049,0.0034613217419302567
236,0.8866328257191202,0.8900523560209425,0.0034195303018222933
237,0.9177631578947368,0.8986013986013986,-0.019161759293338188
238,0.9008130081300812,0.9125874125874126,0.011774404457331356
239,0.9047619047619048,0.8936170212765957,-0.011144883485309065
240,0.8646748681898067,0.8833652007648184,0.018690332575011737
