setting,accuracy,AFL_precision,AFL_recall,AFL_f1,macro_f1,TN,FP,FN,TP
12lead,0.8730769230769231,0.8242424242424242,0.9714285714285714,0.8918032786885246,0.8691574532977506,182,58,8,272
II_V1,0.8903846153846153,0.8704318936877077,0.9357142857142857,0.9018932874354562,0.8888551404497542,201,39,18,262
