threshold,accuracy,macro_precision,macro_recall,macro_f1,afl_precision,afl_recall,afl_f1
0.01,0.2573125463994061,0.6164110429213508,0.5206057120917406,0.22843321167775202,0.23282208588921346,0.9999999999934125,0.3777058939246108
0.02,0.27230883444691906,0.6182427169180948,0.530285604750338,0.24836801424251662,0.23648543386783535,0.9999999999934125,0.3825122811438688
0.05,0.3008166295471418,0.6218885498534594,0.5486869848538105,0.28473103975773995,0.24377709972660386,0.9999999999934125,0.3919948322250022
0.1,0.3765404602821084,0.6327619380742685,0.5975656507536593,0.3730852564697744,0.2655238761583601,0.9999999999934125,0.4196268107811392
0.15,0.4034149962880475,0.6371026011516516,0.6149127851220371,0.40207360671228964,0.2742052023116434,0.9999999999934125,0.430394099257836
0.2,0.4142538975501114,0.6385015107800147,0.6216756029394226,0.41348408302093465,0.27778795092423036,0.99934123846509,0.4347327663325547
0.25,0.4250927988121752,0.6363454435304743,0.6263365585717074,0.42480366435117145,0.2807377049175098,0.992753623181866,0.4376996770729053
0.3,0.4375649591685226,0.6328427561066693,0.6306505184823534,0.4375497661514498,0.28389185072299333,0.9822134387287075,0.4404726700795638
0.4,0.5420935412026726,0.643210972265705,0.6845769114466602,0.5357871406185213,0.32333032490901775,0.944005270086008,0.4816806684665535
0.5,0.6917594654788418,0.6750527735933369,0.7496562242133824,0.6598439784568266,0.41154090044257596,0.8550724637624831,0.5556506805422279
