model,bin,q1,q2,n,accuracy,macro_precision,macro_recall,macro_f1,AF_precision,AF_recall,AF_f1,AFL_precision,AFL_recall,AFL_f1,cm00,cm01,cm10,cm11
proposed,low,0.3333333333333333,0.6666666666666666,2245,0.5167037861915368,0.5997422802288741,0.503350472886466,0.3511507114014154,0.5152740341419587,0.99479618386817,0.6788990825688074,0.6842105263157895,0.011904761904761904,0.023402340234023402,1147,6,1079,13
proposed,mid,0.3333333333333333,0.6666666666666666,2245,0.8685968819599109,0.43429844097995546,0.5,0.464839094159714,0.8685968819599109,1.0,0.929678188319428,0.0,0.0,0.0,1950,0,295,0
proposed,high,0.3333333333333333,0.6666666666666666,2245,0.9416481069042316,0.4708240534521158,0.5,0.48497361780224824,0.9416481069042316,1.0,0.9699472356044965,0.0,0.0,0.0,2114,0,131,0
no_fuzzy,low,0.3333333333333333,0.6666666666666666,2245,0.824498886414254,0.8674293405114402,0.829141370338248,0.8205507009747752,1.0,0.6582827406764961,0.7939330543933054,0.7348586810228802,1.0,0.8471683475562451,759,394,0,1092
no_fuzzy,mid,0.3333333333333333,0.6666666666666666,2245,0.3674832962138085,0.5860058309037901,0.6358974358974359,0.36047584657358367,1.0,0.2717948717948718,0.4274193548387097,0.17201166180758018,1.0,0.2935323383084577,530,1420,0,295
no_fuzzy,high,0.3333333333333333,0.6666666666666666,2245,0.15634743875278395,0.5323456790123456,0.5520340586565752,0.15501945110832369,1.0,0.10406811731315042,0.18851756640959727,0.06469135802469136,1.0,0.12152133580705009,220,1894,0,131
