exp,ckpt,error,accuracy,macro_precision,macro_recall,macro_f1,AF_precision,AF_recall,AF_f1,AFL_precision,AFL_recall,AFL_f1,afl_pr_auc,cm00,cm01,cm10,cm11
main_experiment,outputs_thr_tuned_multi_afl_noise_aug_seg/af_vs_afl_afdb_ltafdb.pt,,0.829992576095026,0.7647710770311029,0.7095024551083755,0.7297391400892296,0.8622775800711744,0.9288863331416523,0.8943434529851435,0.6672645739910313,0.4901185770750988,0.5651348271933156,0.6473504427471657,4846,371,774,744
05_no_fuzzy,outputs/ablation/05_full_no_fuzzy/af_vs_afl_afdb_ltafdb.pt,,0.5175946547884187,0.6526250687046216,0.683242720476763,0.5149640105626145,0.9885799404170804,0.3816369561050412,0.5506845526206611,0.3166701969921627,0.9848484848484849,0.47924346850456806,0.46423111144389995,1991,3226,23,1495
06_fuzzy_only,,,0.8429101707498144,0.8386683209263854,0.6783722794361092,0.7134445480376488,0.8440033085194375,0.9779566800843397,0.9060557627419641,0.8333333333333334,0.3787878787878788,0.5208333333333334,0.6781132403753297,5102,115,943,575
07_no_rr,outputs/ablation/07_full_no_rr/af_vs_afl_afdb_ltafdb.pt,,0.5110616184112844,0.6470633077662844,0.6757561741373027,0.5085654553280452,0.9814814814814815,0.375886524822695,0.5435897435897435,0.3126451340510872,0.9756258234519104,0.4735411670663469,0.7044196609692518,1961,3256,37,1481
08_no_morph,outputs/ablation/08_full_no_morph/af_vs_afl_afdb_ltafdb.pt,,0.8775055679287305,0.8671363103213602,0.7621242047699032,0.7974599931200826,0.8817802503477051,0.9722062488019935,0.9247880390190537,0.8524923702950152,0.5520421607378129,0.6701319472211116,0.7552755479391818,5072,145,680,838
09_no_oversampling,outputs/ablation/09_full_no_oversampling/af_vs_afl_afdb_ltafdb.pt,,0.7977728285077951,0.7316561303028579,0.7942652517120602,0.748502928014427,0.9284285396754834,0.8006517155453325,0.8598188554960889,0.5348837209302325,0.7878787878787878,0.637187000532765,0.7831294593974087,4177,1040,322,1196
10_no_data_aug,outputs/ablation/10_full_no_data_aug/af_vs_afl_afdb_ltafdb.pt,,0.7850799289520426,0.48103552513446507,0.4089311847861341,0.44081694425704704,0.9608589290568089,0.8109658178481303,0.879572032843991,0.0012121212121212121,0.006896551724137931,0.002061855670103093,0.02152369380664966,7070,1648,288,2
