baseline,error,val_loss,val_acc,val_macro_f1,val_afl_f1,test_loss,test_acc,test_macro_f1,test_afl_f1,test_afl_precision,test_afl_recall,test_threshold,test_argmax_afl_f1,test_AF_precision,test_AF_recall,test_AF_f1,test_AFL_precision,test_AFL_recall,test_AFL_f1
ArNet2,,1.286334,,,,1.000780,0.225423,0.183955,0.367911,0.225423,1.000000,0.0100,0.367911,,,,0.225423,1.000000,0.367911
RawECGNet,,0.423796,,,,3.334336,0.580784,0.572216,0.511676,0.346939,0.974308,0.9900,0.472676,,,,0.346939,0.974308,0.511676
Wang2021_BiLSTM,,0.132249,,,,2.720760,0.589249,0.580800,0.521288,0.353521,0.992095,0.9704,0.512327,,,,0.353521,0.992095,0.521288
Kraft2025_ConvNeXt1D,,0.273036,,,,6.812316,0.493466,0.492465,0.469930,0.307505,0.996047,0.9900,0.463963,,,,0.307505,0.996047,0.469930
Fleury2024_Modular,,0.330658,,,,4.660769,0.480398,0.479530,0.458275,0.299535,0.974967,0.9312,0.456686,,,,0.299535,0.974967,0.458275
