bin_left,bin_right,bin_center,af_density,afl_density
0.0,0.025,0.0125,34.149894575426494,8.827404479578393
0.025,0.05,0.037500000000000006,0.9277362468851831,0.23715415019762845
0.05,0.07500000000000001,0.0625,0.5980448533640021,0.026350461133069818
0.07500000000000001,0.1,0.08750000000000001,0.32202415181138594,0.0790513833992095
0.1,0.125,0.1125,0.28368794326241137,0.0
0.125,0.15000000000000002,0.1375,0.11500862564692341,0.05270092226613961
0.15000000000000002,0.17500000000000002,0.16250000000000003,0.16101207590569297,0.0
0.17500000000000002,0.2,0.1875,0.2683534598428216,0.05270092226613967
0.2,0.225,0.21250000000000002,0.47536898600728394,0.13175230566534918
0.225,0.25,0.2375,0.36802760207015534,0.0
0.25,0.275,0.2625,0.36802760207015495,0.10540184453227922
0.275,0.30000000000000004,0.28750000000000003,0.49070346942687326,0.05270092226613961
0.30000000000000004,0.325,0.3125,0.3680276020701557,0.18445322793148905
0.325,0.35000000000000003,0.3375,0.2836879432624111,0.21080368906455843
0.35000000000000003,0.375,0.36250000000000004,0.1916810427448728,0.21080368906455893
0.375,0.4,0.3875,0.14567759248610299,0.23715415019762823
0.4,0.42500000000000004,0.41250000000000003,0.11500862564692341,0.2635046113306981
0.42500000000000004,0.45,0.4375,0.03066896683917965,0.6851119894598164
0.45,0.47500000000000003,0.4625,0.04600345025876937,0.6060606060606055
0.47500000000000003,0.5,0.48750000000000004,0.03833620854897456,0.7378129117259562
0.5,0.525,0.5125,0.023001725129384684,0.8695652173913035
0.525,0.55,0.5375000000000001,0.05367069196856426,0.8959156785243735
0.55,0.5750000000000001,0.5625,0.023001725129384684,0.9486166007905129
0.5750000000000001,0.6000000000000001,0.5875000000000001,0.01533448341958979,1.0540184453227923
0.6000000000000001,0.625,0.6125,0.0076672417097949285,1.1857707509881465
0.625,0.65,0.6375,0.01533448341958979,1.0013175230566527
0.65,0.675,0.6625000000000001,0.01533448341958979,0.9486166007905129
0.675,0.7000000000000001,0.6875,0.023001725129384684,0.7378129117259546
0.7000000000000001,0.7250000000000001,0.7125000000000001,0.007667241709794895,0.685111989459815
0.7250000000000001,0.75,0.7375,0.0,0.8432147562582375
0.75,0.775,0.7625,0.007667241709794895,0.6060606060606055
0.775,0.8,0.7875000000000001,0.0,0.8168642951251639
0.8,0.8250000000000001,0.8125,0.007667241709794895,0.8959156785243735
0.8250000000000001,0.8500000000000001,0.8375000000000001,0.007667241709794895,0.9486166007905129
0.8500000000000001,0.875,0.8625,0.0,0.7641633728590277
0.875,0.9,0.8875,0.0,1.5546772068511183
0.9,0.925,0.9125000000000001,0.038336208548974474,1.8181818181818168
0.925,0.9500000000000001,0.9375,0.0,4.901185770750984
0.9500000000000001,0.9750000000000001,0.9625000000000001,0.007667241709794895,3.346508563899865
0.9750000000000001,1.0,0.9875,0.0,2.4769433465085724
