model,fpr,tpr,threshold,curve,model_key,display_model,precision,recall
Ours,,,0.0005418939,PR,ours_full,Ours,0.268334937439846,0.9183135704874836
Ours,,,0.0005419602,PR,ours_full,Ours,0.2683865999229881,0.9183135704874836
Ours,,,0.0005420674,PR,ours_full,Ours,0.2684382823031003,0.9183135704874836
Ours,,,0.0005421087,PR,ours_full,Ours,0.2682973805855161,0.9176548089591569
Ours,,,0.0005422721,PR,ours_full,Ours,0.2683490656906184,0.9176548089591569
Ours,,,0.0005423739,PR,ours_full,Ours,0.2684007707129094,0.9176548089591569
Ours,,,0.00054271205,PR,ours_full,Ours,0.2682597803044902,0.91699604743083
Ours,,,0.0005427209,PR,ours_full,Ours,0.2683114880493446,0.91699604743083
Ours,,,0.0005434311,PR,ours_full,Ours,0.2683632157316368,0.91699604743083
Ours,,,0.000543864,PR,ours_full,Ours,0.2682221365214037,0.9163372859025032
Ours,,,0.00054414064,PR,ours_full,Ours,0.2682738669238187,0.9163372859025032
Ours,,,0.00054416293,PR,ours_full,Ours,0.2683256172839506,0.9163372859025032
Ours,,,0.0005444332,PR,ours_full,Ours,0.2683773876133513,0.9163372859025032
Ours,,,0.00054484094,PR,ours_full,Ours,0.2684291779235816,0.9163372859025032
Ours,,,0.00054501585,PR,ours_full,Ours,0.2684809882262111,0.9163372859025032
Ours,,,0.0005450615,PR,ours_full,Ours,0.2685328185328185,0.9163372859025032
Ours,,,0.00054514414,PR,ours_full,Ours,0.2685846688549913,0.9163372859025032
Ours,,,0.0005452626,PR,ours_full,Ours,0.268636539204326,0.9163372859025032
Ours,,,0.00054531405,PR,ours_full,Ours,0.2684952675294572,0.9156785243741764
Ours,,,0.0005453224,PR,ours_full,Ours,0.2685471406491499,0.9156785243741764
Ours,,,0.00054538244,PR,ours_full,Ours,0.2685990338164251,0.9156785243741764
Ours,,,0.0005455355,PR,ours_full,Ours,0.2686509470429068,0.9156785243741764
Ours,,,0.0005459704,PR,ours_full,Ours,0.2687028803402281,0.9156785243741764
Ours,,,0.00054615963,PR,ours_full,Ours,0.2687548337200309,0.9156785243741764
Ours,,,0.00054627773,PR,ours_full,Ours,0.2688068071939663,0.9156785243741764
Ours,,,0.0005466552,PR,ours_full,Ours,0.2688588007736944,0.9156785243741764
Ours,,,0.0005467223,PR,ours_full,Ours,0.2689108144708841,0.9156785243741764
Ours,,,0.0005467307,PR,ours_full,Ours,0.2689628482972136,0.9156785243741764
Ours,,,0.00054677867,PR,ours_full,Ours,0.26901490226437,0.9156785243741764
Ours,,,0.0005468365,PR,ours_full,Ours,0.2690669763840495,0.9156785243741764
Ours,,,0.0005469548,PR,ours_full,Ours,0.2691190706679574,0.9156785243741764
Ours,,,0.00054722343,PR,ours_full,Ours,0.2691711851278079,0.9156785243741764
Ours,,,0.000547225,PR,ours_full,Ours,0.2692233197753244,0.9156785243741764
Ours,,,0.0005472938,PR,ours_full,Ours,0.2692754746222394,0.9156785243741764
Ours,,,0.00054754264,PR,ours_full,Ours,0.2691338887812439,0.9150197628458498
Ours,,,0.00054757507,PR,ours_full,Ours,0.2691860465116279,0.9150197628458498
Ours,,,0.00054769695,PR,ours_full,Ours,0.269238224462105,0.9150197628458498
Ours,,,0.00054796925,PR,ours_full,Ours,0.2692904226444358,0.9150197628458498
Ours,,,0.00054807006,PR,ours_full,Ours,0.2693426410703897,0.9150197628458498
Ours,,,0.0005481085,PR,ours_full,Ours,0.2693948797517455,0.9150197628458498
Ours,,,0.00054831826,PR,ours_full,Ours,0.2694471387002909,0.9150197628458498
Ours,,,0.0005484907,PR,ours_full,Ours,0.269499417927823,0.9150197628458498
Ours,,,0.00054850616,PR,ours_full,Ours,0.2695517174461478,0.9150197628458498
Ours,,,0.00054879405,PR,ours_full,Ours,0.2696040372670807,0.9150197628458498
Ours,,,0.00054893433,PR,ours_full,Ours,0.2696563774024461,0.9150197628458498
Ours,,,0.000548975,PR,ours_full,Ours,0.2697087378640777,0.9150197628458498
Ours,,,0.00054903945,PR,ours_full,Ours,0.2697611186638182,0.9150197628458498
Ours,,,0.0005491198,PR,ours_full,Ours,0.2698135198135198,0.9150197628458498
Ours,,,0.00054913264,PR,ours_full,Ours,0.2698659413250437,0.9150197628458498
Ours,,,0.0005492287,PR,ours_full,Ours,0.2699183832102604,0.9150197628458498
Ours,,,0.00054928154,PR,ours_full,Ours,0.26977648202138,0.9143610013175232
Ours,,,0.00054964627,PR,ours_full,Ours,0.2698289269051322,0.9143610013175232
Ours,,,0.00054990983,PR,ours_full,Ours,0.2698813921835504,0.9143610013175232
Ours,,,0.0005499972,PR,ours_full,Ours,0.2697394010112796,0.9137022397891964
Ours,,,0.00055002153,PR,ours_full,Ours,0.2697918692861311,0.9137022397891964
Ours,,,0.0005507129,PR,ours_full,Ours,0.2698443579766537,0.9137022397891964
Ours,,,0.00055073184,PR,ours_full,Ours,0.2698968670947655,0.9137022397891964
Ours,,,0.0005508846,PR,ours_full,Ours,0.2699493966523939,0.9137022397891964
Ours,,,0.0005510737,PR,ours_full,Ours,0.2700019466614756,0.9137022397891964
Ours,,,0.0005511377,PR,ours_full,Ours,0.2700545171339564,0.9137022397891964
Ours,,,0.0005512312,PR,ours_full,Ours,0.2701071080817916,0.9137022397891964
Ours,,,0.00055133813,PR,ours_full,Ours,0.2701597195169458,0.9137022397891964
Ours,,,0.0005514937,PR,ours_full,Ours,0.2702123514513929,0.9137022397891964
Ours,,,0.00055178057,PR,ours_full,Ours,0.2702650038971161,0.9137022397891964
Ours,,,0.00055179425,PR,ours_full,Ours,0.2703176768661079,0.9137022397891964
Ours,,,0.00055240496,PR,ours_full,Ours,0.2703703703703703,0.9137022397891964
Ours,,,0.00055275176,PR,ours_full,Ours,0.2704230844219146,0.9137022397891964
Ours,,,0.0005528985,PR,ours_full,Ours,0.2702808112324493,0.9130434782608696
Ours,,,0.0005536183,PR,ours_full,Ours,0.2703335283791691,0.9130434782608696
Ours,,,0.0005538646,PR,ours_full,Ours,0.2703862660944206,0.9130434782608696
Ours,,,0.0005539574,PR,ours_full,Ours,0.2704390243902439,0.9130434782608696
Ours,,,0.000554221,PR,ours_full,Ours,0.2704918032786885,0.9130434782608696
Ours,,,0.0005545568,PR,ours_full,Ours,0.2705446027718134,0.9130434782608696
Ours,,,0.00055499596,PR,ours_full,Ours,0.2705974228816868,0.9130434782608696
Ours,,,0.0005550896,PR,ours_full,Ours,0.2706502636203866,0.9130434782608696
Ours,,,0.00055519067,PR,ours_full,Ours,0.270703125,0.9130434782608696
Ours,,,0.00055589015,PR,ours_full,Ours,0.2707560070326235,0.9130434782608696
Ours,,,0.00055626326,PR,ours_full,Ours,0.2706135209066041,0.9123847167325428
Ours,,,0.0005569095,PR,ours_full,Ours,0.2706664060973227,0.9123847167325428
Ours,,,0.0005569715,PR,ours_full,Ours,0.2707193119624707,0.9123847167325428
Ours,,,0.0005571659,PR,ours_full,Ours,0.270772238514174,0.9123847167325428
Ours,,,0.0005573109,PR,ours_full,Ours,0.2708251857645679,0.9123847167325428
Ours,,,0.00055747613,PR,ours_full,Ours,0.270878153725797,0.9123847167325428
Ours,,,0.0005574804,PR,ours_full,Ours,0.2709311424100156,0.9123847167325428
Ours,,,0.0005575662,PR,ours_full,Ours,0.2709841518293876,0.9123847167325428
Ours,,,0.00055764435,PR,ours_full,Ours,0.2710371819960861,0.9123847167325428
Ours,,,0.00055793644,PR,ours_full,Ours,0.271090232922294,0.9123847167325428
Ours,,,0.00055810425,PR,ours_full,Ours,0.2709475332811276,0.911725955204216
Ours,,,0.0005582094,PR,ours_full,Ours,0.271000587429019,0.911725955204216
Ours,,,0.000558267,PR,ours_full,Ours,0.2710536623580102,0.911725955204216
Ours,,,0.000558295,PR,ours_full,Ours,0.2709108716944172,0.9110671936758892
Ours,,,0.0005591594,PR,ours_full,Ours,0.2709639498432601,0.9110671936758892
Ours,,,0.00055930536,PR,ours_full,Ours,0.2710170487948266,0.9110671936758892
Ours,,,0.00055944186,PR,ours_full,Ours,0.2710701685613484,0.9110671936758892
Ours,,,0.000559569,PR,ours_full,Ours,0.2711233091550676,0.9110671936758892
Ours,,,0.0005595864,PR,ours_full,Ours,0.2711764705882353,0.9110671936758892
Ours,,,0.0005596347,PR,ours_full,Ours,0.2712296528731123,0.9110671936758892
Ours,,,0.00056011573,PR,ours_full,Ours,0.2712828560219694,0.9110671936758892
Ours,,,0.0005601339,PR,ours_full,Ours,0.2713360800470865,0.9110671936758892
Ours,,,0.00056040357,PR,ours_full,Ours,0.2713893249607535,0.9110671936758892
Ours,,,0.00056072394,PR,ours_full,Ours,0.2714425907752699,0.9110671936758892
Ours,,,0.0005607416,PR,ours_full,Ours,0.2714958775029446,0.9110671936758892
Ours,,,0.00056078023,PR,ours_full,Ours,0.2715491851560966,0.9110671936758892
Ours,,,0.0005611422,PR,ours_full,Ours,0.2716025137470542,0.9110671936758892
Ours,,,0.0005613573,PR,ours_full,Ours,0.2716558632881555,0.9110671936758892
Ours,,,0.0005614419,PR,ours_full,Ours,0.2717092337917485,0.9110671936758892
Ours,,,0.00056149747,PR,ours_full,Ours,0.2717626252701906,0.9110671936758892
Ours,,,0.0005615938,PR,ours_full,Ours,0.271816037735849,0.9110671936758892
Ours,,,0.0005616321,PR,ours_full,Ours,0.2716728916846864,0.9104084321475626
Ours,,,0.0005617065,PR,ours_full,Ours,0.271726307510814,0.9104084321475626
Ours,,,0.00056177855,PR,ours_full,Ours,0.271779744346116,0.9104084321475626
Ours,,,0.0005619474,PR,ours_full,Ours,0.2718332022029898,0.9104084321475626
Ours,,,0.0005621792,PR,ours_full,Ours,0.2718866810938422,0.9104084321475626
Ours,,,0.00056218373,PR,ours_full,Ours,0.2719401810310901,0.9104084321475626
Ours,,,0.0005624262,PR,ours_full,Ours,0.27199370202716,0.9104084321475626
Ours,,,0.0005625249,PR,ours_full,Ours,0.2720472440944882,0.9104084321475626
Ours,,,0.000563145,PR,ours_full,Ours,0.2721008072455207,0.9104084321475626
Ours,,,0.00056316896,PR,ours_full,Ours,0.2721543914927136,0.9104084321475626
Ours,,,0.000563173,PR,ours_full,Ours,0.2722079968485326,0.9104084321475626
Ours,,,0.00056321704,PR,ours_full,Ours,0.2722616233254531,0.9104084321475626
Ours,,,0.0005633182,PR,ours_full,Ours,0.2723152709359606,0.9104084321475626
Ours,,,0.0005634859,PR,ours_full,Ours,0.2723689396925502,0.9104084321475626
Ours,,,0.0005636802,PR,ours_full,Ours,0.2724226296077272,0.9104084321475626
Ours,,,0.0005636837,PR,ours_full,Ours,0.2724763406940063,0.9104084321475626
Ours,,,0.00056394003,PR,ours_full,Ours,0.2725300729639124,0.9104084321475626
Ours,,,0.00056412735,PR,ours_full,Ours,0.2725838264299803,0.9104084321475626
Ours,,,0.00056424836,PR,ours_full,Ours,0.2726376011047544,0.9104084321475626
Ours,,,0.00056427496,PR,ours_full,Ours,0.2726913970007892,0.9104084321475626
Ours,,,0.0005642901,PR,ours_full,Ours,0.2727452141306493,0.9104084321475626
Ours,,,0.0005644154,PR,ours_full,Ours,0.2727990525069088,0.9104084321475626
Ours,,,0.00056442694,PR,ours_full,Ours,0.272852912142152,0.9104084321475626
Ours,,,0.00056471885,PR,ours_full,Ours,0.2729067930489731,0.9104084321475626
Ours,,,0.0005650226,PR,ours_full,Ours,0.2729606952399763,0.9104084321475626
Ours,,,0.0005651163,PR,ours_full,Ours,0.2730146187277756,0.9104084321475626
Ours,,,0.0005651712,PR,ours_full,Ours,0.273068563524995,0.9104084321475626
Ours,,,0.0005655074,PR,ours_full,Ours,0.2731225296442687,0.9104084321475626
Ours,,,0.00056565594,PR,ours_full,Ours,0.2731765170982407,0.9104084321475626
Ours,,,0.0005657575,PR,ours_full,Ours,0.273230525899565,0.9104084321475626
Ours,,,0.000566418,PR,ours_full,Ours,0.2732845560609057,0.9104084321475626
Ours,,,0.0005665821,PR,ours_full,Ours,0.2733386075949367,0.9104084321475626
Ours,,,0.00056715246,PR,ours_full,Ours,0.2733926805143422,0.9104084321475626
Ours,,,0.00056730997,PR,ours_full,Ours,0.2734467748318164,0.9104084321475626
Ours,,,0.00056741433,PR,ours_full,Ours,0.2735008905600633,0.9104084321475626
Ours,,,0.0005674203,PR,ours_full,Ours,0.2735550277117973,0.9104084321475626
Ours,,,0.0005675752,PR,ours_full,Ours,0.2736091862997426,0.9104084321475626
Ours,,,0.0005678926,PR,ours_full,Ours,0.2736633663366337,0.9104084321475626
Ours,,,0.00056791,PR,ours_full,Ours,0.2737175678352149,0.9104084321475626
Ours,,,0.0005680529,PR,ours_full,Ours,0.2737717908082409,0.9104084321475626
Ours,,,0.00056814606,PR,ours_full,Ours,0.2738260352684763,0.9104084321475626
Ours,,,0.0005681905,PR,ours_full,Ours,0.2736821244550139,0.9097496706192358
Ours,,,0.0005682132,PR,ours_full,Ours,0.2737363726461843,0.9097496706192358
Ours,,,0.0005683724,PR,ours_full,Ours,0.2737906423473434,0.9097496706192358
Ours,,,0.00056841475,PR,ours_full,Ours,0.2738449335712869,0.9097496706192358
Ours,,,0.00056849053,PR,ours_full,Ours,0.2738992463308211,0.9097496706192358
Ours,,,0.00056885806,PR,ours_full,Ours,0.2739535806387621,0.9097496706192358
Ours,,,0.00056900934,PR,ours_full,Ours,0.2740079365079365,0.9097496706192358
Ours,,,0.00056905573,PR,ours_full,Ours,0.2740623139511808,0.9097496706192358
Ours,,,0.00056964037,PR,ours_full,Ours,0.2741167129813418,0.9097496706192358
Ours,,,0.000569899,PR,ours_full,Ours,0.2741711336112765,0.9097496706192358
Ours,,,0.0005700057,PR,ours_full,Ours,0.2742255758538522,0.9097496706192358
Ours,,,0.0005702255,PR,ours_full,Ours,0.2742800397219463,0.9097496706192358
Ours,,,0.00057040673,PR,ours_full,Ours,0.2743345252284466,0.9097496706192358
Ours,,,0.000570438,PR,ours_full,Ours,0.2743890323862507,0.9097496706192358
Ours,,,0.00057048723,PR,ours_full,Ours,0.2744435612082671,0.9097496706192358
Ours,,,0.0005710794,PR,ours_full,Ours,0.274498111707414,0.9097496706192358
Ours,,,0.0005711823,PR,ours_full,Ours,0.2743538767395626,0.9090909090909092
Ours,,,0.000571221,PR,ours_full,Ours,0.2744084310996222,0.9090909090909092
Ours,,,0.0005713119,PR,ours_full,Ours,0.2744630071599045,0.9090909090909092
Ours,,,0.0005714524,PR,ours_full,Ours,0.2745176049333598,0.9090909090909092
Ours,,,0.0005716392,PR,ours_full,Ours,0.2743732590529248,0.9084321475625824
Ours,,,0.00057167164,PR,ours_full,Ours,0.2744278606965174,0.9084321475625824
Ours,,,0.00057196047,PR,ours_full,Ours,0.2744824840764331,0.9084321475625824
Ours,,,0.00057221483,PR,ours_full,Ours,0.274537129205654,0.9084321475625824
Ours,,,0.00057222415,PR,ours_full,Ours,0.2743926722421346,0.9077733860342556
Ours,,,0.0005723518,PR,ours_full,Ours,0.2744473212507469,0.9077733860342556
Ours,,,0.0005724033,PR,ours_full,Ours,0.2745019920318725,0.9077733860342556
Ours,,,0.00057243113,PR,ours_full,Ours,0.2745566845985256,0.9077733860342556
Ours,,,0.00057258474,PR,ours_full,Ours,0.2746113989637305,0.9077733860342556
Ours,,,0.00057268684,PR,ours_full,Ours,0.2746661351405222,0.9077733860342556
Ours,,,0.0005728924,PR,ours_full,Ours,0.2747208931419457,0.9077733860342556
Ours,,,0.00057323516,PR,ours_full,Ours,0.2747756729810568,0.9077733860342556
Ours,,,0.0005733067,PR,ours_full,Ours,0.2748304746709214,0.9077733860342556
Ours,,,0.0005738764,PR,ours_full,Ours,0.274885298224616,0.9077733860342556
Ours,,,0.0005740038,PR,ours_full,Ours,0.2749401436552274,0.9077733860342556
Ours,,,0.0005742714,PR,ours_full,Ours,0.2749950109758531,0.9077733860342556
Ours,,,0.00057453534,PR,ours_full,Ours,0.2750499001996008,0.9077733860342556
Ours,,,0.00057457364,PR,ours_full,Ours,0.2751048113395887,0.9077733860342556
Ours,,,0.0005748991,PR,ours_full,Ours,0.2751597444089457,0.9077733860342556
Ours,,,0.00057519996,PR,ours_full,Ours,0.2752146994208108,0.9077733860342556
Ours,,,0.00057531777,PR,ours_full,Ours,0.275269676388334,0.9077733860342556
Ours,,,0.0005754412,PR,ours_full,Ours,0.2753246753246753,0.9077733860342556
Ours,,,0.0005756085,PR,ours_full,Ours,0.2753796962430056,0.9077733860342556
Ours,,,0.0005756365,PR,ours_full,Ours,0.275434739156506,0.9077733860342556
Ours,,,0.00057569385,PR,ours_full,Ours,0.2754898040783686,0.9077733860342556
Ours,,,0.000575761,PR,ours_full,Ours,0.2755448910217956,0.9077733860342556
Ours,,,0.0005759043,PR,ours_full,Ours,0.2756,0.9077733860342556
Ours,,,0.0005760097,PR,ours_full,Ours,0.2756551310262052,0.9077733860342556
Ours,,,0.0005764743,PR,ours_full,Ours,0.2757102841136454,0.9077733860342556
Ours,,,0.00057677005,PR,ours_full,Ours,0.2755653392035221,0.9071146245059288
Ours,,,0.0005769339,PR,ours_full,Ours,0.2756204963971177,0.9071146245059288
Ours,,,0.0005770777,PR,ours_full,Ours,0.2756756756756757,0.9071146245059288
Ours,,,0.00057739165,PR,ours_full,Ours,0.2757308770524629,0.9071146245059288
Ours,,,0.0005774937,PR,ours_full,Ours,0.2755858201482075,0.906455862977602
Ours,,,0.00057751074,PR,ours_full,Ours,0.2756410256410256,0.906455862977602
Ours,,,0.0005781047,PR,ours_full,Ours,0.2756962532558605,0.906455862977602
Ours,,,0.00057835743,PR,ours_full,Ours,0.275751503006012,0.906455862977602
Ours,,,0.0005784056,PR,ours_full,Ours,0.2758067749047905,0.906455862977602
Ours,,,0.0005788771,PR,ours_full,Ours,0.2758620689655172,0.906455862977602
Ours,,,0.0005788904,PR,ours_full,Ours,0.275917385201524,0.906455862977602
Ours,,,0.0005791658,PR,ours_full,Ours,0.2759727236261532,0.906455862977602
Ours,,,0.0005791857,PR,ours_full,Ours,0.2760280842527582,0.906455862977602
Ours,,,0.00057935267,PR,ours_full,Ours,0.276083467094703,0.906455862977602
Ours,,,0.00057975564,PR,ours_full,Ours,0.2761388721653622,0.906455862977602
Ours,,,0.00058009336,PR,ours_full,Ours,0.2761942994781212,0.906455862977602
Ours,,,0.00058027153,PR,ours_full,Ours,0.2762497490463762,0.906455862977602
Ours,,,0.0005807124,PR,ours_full,Ours,0.2763052208835341,0.906455862977602
Ours,,,0.00058087095,PR,ours_full,Ours,0.2763607150030127,0.906455862977602
Ours,,,0.00058115897,PR,ours_full,Ours,0.2764162314182402,0.906455862977602
Ours,,,0.0005812922,PR,ours_full,Ours,0.2764717701426562,0.906455862977602
Ours,,,0.00058131764,PR,ours_full,Ours,0.2765273311897106,0.906455862977602
Ours,,,0.0005814174,PR,ours_full,Ours,0.2765829145728643,0.906455862977602
Ours,,,0.000581717,PR,ours_full,Ours,0.276638520305589,0.906455862977602
Ours,,,0.00058215274,PR,ours_full,Ours,0.2766941484013673,0.906455862977602
Ours,,,0.0005822656,PR,ours_full,Ours,0.2767497988736926,0.906455862977602
Ours,,,0.00058246794,PR,ours_full,Ours,0.2768054717360692,0.906455862977602
Ours,,,0.0005826279,PR,ours_full,Ours,0.2768611670020121,0.906455862977602
Ours,,,0.00058264064,PR,ours_full,Ours,0.2769168846850472,0.906455862977602
Ours,,,0.00058273674,PR,ours_full,Ours,0.2769726247987117,0.906455862977602
Ours,,,0.00058318174,PR,ours_full,Ours,0.2770283873565533,0.906455862977602
Ours,,,0.0005832812,PR,ours_full,Ours,0.2770841723721305,0.906455862977602
Ours,,,0.00058334967,PR,ours_full,Ours,0.2771399798590131,0.906455862977602
Ours,,,0.00058335974,PR,ours_full,Ours,0.2771958098307816,0.906455862977602
Ours,,,0.00058366085,PR,ours_full,Ours,0.2772516623010276,0.906455862977602
Ours,,,0.000583712,PR,ours_full,Ours,0.2773075372833535,0.906455862977602
Ours,,,0.00058405125,PR,ours_full,Ours,0.2773634347913727,0.906455862977602
Ours,,,0.00058433623,PR,ours_full,Ours,0.2774193548387096,0.906455862977602
Ours,,,0.00058449805,PR,ours_full,Ours,0.2774752974389998,0.906455862977602
Ours,,,0.0005845302,PR,ours_full,Ours,0.2775312626058894,0.906455862977602
Ours,,,0.00058478425,PR,ours_full,Ours,0.2775872503530361,0.906455862977602
Ours,,,0.0005851577,PR,ours_full,Ours,0.2776432606941081,0.906455862977602
Ours,,,0.00058540324,PR,ours_full,Ours,0.277699293642785,0.906455862977602
Ours,,,0.00058543053,PR,ours_full,Ours,0.2777553492127573,0.906455862977602
Ours,,,0.0005862486,PR,ours_full,Ours,0.2778114274177266,0.906455862977602
Ours,,,0.0005864224,PR,ours_full,Ours,0.2778675282714055,0.906455862977602
Ours,,,0.00058667455,PR,ours_full,Ours,0.2779236517875176,0.906455862977602
Ours,,,0.0005866886,PR,ours_full,Ours,0.277979797979798,0.906455862977602
Ours,,,0.0005868893,PR,ours_full,Ours,0.2780359668619923,0.906455862977602
Ours,,,0.000587112,PR,ours_full,Ours,0.2780921584478577,0.906455862977602
Ours,,,0.0005871455,PR,ours_full,Ours,0.2781483727511623,0.906455862977602
Ours,,,0.0005872037,PR,ours_full,Ours,0.2782046097856854,0.906455862977602
Ours,,,0.00058769644,PR,ours_full,Ours,0.2782608695652174,0.906455862977602
Ours,,,0.0005878155,PR,ours_full,Ours,0.2783171521035599,0.906455862977602
Ours,,,0.0005880606,PR,ours_full,Ours,0.2783734574145255,0.906455862977602
Ours,,,0.000588117,PR,ours_full,Ours,0.2784861364096336,0.906455862977602
Ours,,,0.0005882899,PR,ours_full,Ours,0.2785425101214575,0.906455862977602
Ours,,,0.0005883039,PR,ours_full,Ours,0.2785989066612674,0.906455862977602
Ours,,,0.000588369,PR,ours_full,Ours,0.2786553260429323,0.906455862977602
Ours,,,0.00058844197,PR,ours_full,Ours,0.2787117682803322,0.906455862977602
Ours,,,0.0005896538,PR,ours_full,Ours,0.2787682333873582,0.906455862977602
Ours,,,0.0005900993,PR,ours_full,Ours,0.2786220871327254,0.9057971014492754
Ours,,,0.0005901915,PR,ours_full,Ours,0.2786785569517633,0.9057971014492754
Ours,,,0.0005911486,PR,ours_full,Ours,0.2785323332657612,0.9051383399209486
Ours,,,0.0005912861,PR,ours_full,Ours,0.278588807785888,0.9051383399209486
Ours,,,0.00059136667,PR,ours_full,Ours,0.2786453052119245,0.9051383399209486
Ours,,,0.00059154653,PR,ours_full,Ours,0.2787018255578093,0.9051383399209486
Ours,,,0.0005917896,PR,ours_full,Ours,0.2787583688374924,0.9051383399209486
Ours,,,0.0005920067,PR,ours_full,Ours,0.278814935064935,0.9051383399209486
Ours,,,0.00059248664,PR,ours_full,Ours,0.27887152425411,0.9051383399209486
Ours,,,0.00059266,PR,ours_full,Ours,0.2789281364190012,0.9051383399209486
Ours,,,0.00059282465,PR,ours_full,Ours,0.2789847715736041,0.9051383399209486
Ours,,,0.0005929023,PR,ours_full,Ours,0.2790414297319252,0.9051383399209486
Ours,,,0.00059313176,PR,ours_full,Ours,0.2790981109079829,0.9051383399209486
Ours,,,0.00059314596,PR,ours_full,Ours,0.2789516456724908,0.9044795783926218
Ours,,,0.0005932161,PR,ours_full,Ours,0.2790083316399105,0.9044795783926218
Ours,,,0.00059349317,PR,ours_full,Ours,0.2788617886178862,0.9038208168642952
Ours,,,0.00059371523,PR,ours_full,Ours,0.2789184793657247,0.9038208168642952
Ours,,,0.0005938853,PR,ours_full,Ours,0.2789751931679544,0.9038208168642952
Ours,,,0.0005944369,PR,ours_full,Ours,0.2790319300386414,0.9038208168642952
Ours,,,0.00059447455,PR,ours_full,Ours,0.2790886899918633,0.9038208168642952
Ours,,,0.0005946372,PR,ours_full,Ours,0.279145473041709,0.9038208168642952
Ours,,,0.000595006,PR,ours_full,Ours,0.2792022792022792,0.9038208168642952
Ours,,,0.0005952748,PR,ours_full,Ours,0.2792591084876857,0.9038208168642952
Ours,,,0.000595381,PR,ours_full,Ours,0.2793159609120521,0.9038208168642952
Ours,,,0.0005954178,PR,ours_full,Ours,0.2793728364895133,0.9038208168642952
Ours,,,0.0005954536,PR,ours_full,Ours,0.2794297352342159,0.9038208168642952
Ours,,,0.00059552735,PR,ours_full,Ours,0.2794866571603178,0.9038208168642952
Ours,,,0.00059579365,PR,ours_full,Ours,0.2795436022819886,0.9038208168642952
Ours,,,0.0005959299,PR,ours_full,Ours,0.2796005706134094,0.9038208168642952
Ours,,,0.0005959969,PR,ours_full,Ours,0.2796575621687729,0.9038208168642952
Ours,,,0.00059610605,PR,ours_full,Ours,0.2797145769622833,0.9038208168642952
Ours,,,0.0005961464,PR,ours_full,Ours,0.2797716150081566,0.9038208168642952
Ours,,,0.0005965931,PR,ours_full,Ours,0.27982867632062,0.9038208168642952
Ours,,,0.00059671083,PR,ours_full,Ours,0.2798857609139127,0.9038208168642952
Ours,,,0.00059696,PR,ours_full,Ours,0.2799428688022852,0.9038208168642952
Ours,,,0.0005970635,PR,ours_full,Ours,0.28,0.9038208168642952
Ours,,,0.00059732253,PR,ours_full,Ours,0.2800571545213309,0.9038208168642952
Ours,,,0.00059733907,PR,ours_full,Ours,0.2801143323805635,0.9038208168642952
Ours,,,0.0005973878,PR,ours_full,Ours,0.2801715335919951,0.9038208168642952
Ours,,,0.0005974532,PR,ours_full,Ours,0.2802287581699346,0.9038208168642952
Ours,,,0.00059748197,PR,ours_full,Ours,0.2802860061287027,0.9038208168642952
Ours,,,0.00059754064,PR,ours_full,Ours,0.2803432774826317,0.9038208168642952
Ours,,,0.00059759873,PR,ours_full,Ours,0.2804005722460658,0.9038208168642952
Ours,,,0.0005978819,PR,ours_full,Ours,0.2804578904333606,0.9038208168642952
Ours,,,0.00059791777,PR,ours_full,Ours,0.2805152320588837,0.9038208168642952
Ours,,,0.0005980537,PR,ours_full,Ours,0.2805725971370143,0.9038208168642952
Ours,,,0.00059812906,PR,ours_full,Ours,0.2804254448762528,0.9031620553359684
Ours,,,0.00059815915,PR,ours_full,Ours,0.2804828150572831,0.9031620553359684
Ours,,,0.0005982023,PR,ours_full,Ours,0.2805402087170043,0.9031620553359684
Ours,,,0.00059824786,PR,ours_full,Ours,0.2805976258698321,0.9031620553359684
Ours,,,0.0005983248,PR,ours_full,Ours,0.2806550665301944,0.9031620553359684
Ours,,,0.00059846346,PR,ours_full,Ours,0.2807125307125307,0.9031620553359684
Ours,,,0.00059847,PR,ours_full,Ours,0.2805652262953103,0.9025032938076416
Ours,,,0.0005985684,PR,ours_full,Ours,0.2806226956165506,0.9025032938076416
Ours,,,0.00059869594,PR,ours_full,Ours,0.280680188485966,0.9025032938076416
Ours,,,0.00059876125,PR,ours_full,Ours,0.2807377049180328,0.9025032938076416
Ours,,,0.00059884996,PR,ours_full,Ours,0.2805902848944456,0.9018445322793148
Ours,,,0.00059885427,PR,ours_full,Ours,0.2806478064780647,0.9018445322793148
Ours,,,0.00059891306,PR,ours_full,Ours,0.2807053516506049,0.9018445322793148
Ours,,,0.0005989932,PR,ours_full,Ours,0.2807629204265792,0.9018445322793148
Ours,,,0.0005990198,PR,ours_full,Ours,0.2808205128205128,0.9018445322793148
Ours,,,0.00059903436,PR,ours_full,Ours,0.2808781288469429,0.9018445322793148
Ours,,,0.0005990963,PR,ours_full,Ours,0.28073055612559,0.9011857707509882
Ours,,,0.000599168,PR,ours_full,Ours,0.2807881773399014,0.9011857707509882
Ours,,,0.00059942645,PR,ours_full,Ours,0.2806405255594333,0.9005270092226614
Ours,,,0.0005996298,PR,ours_full,Ours,0.2806981519507187,0.9005270092226614
Ours,,,0.0005996733,PR,ours_full,Ours,0.2807558020127336,0.9005270092226614
Ours,,,0.0006000403,PR,ours_full,Ours,0.2808134757600657,0.9005270092226614
Ours,,,0.00060037157,PR,ours_full,Ours,0.2808711732073146,0.9005270092226614
