model,fpr,tpr,threshold,curve,model_key,display_model,precision,recall
Ours,0.0063254744105807,0.6765480895915679,0.50737786,ROC,ours_full,Ours,,
Ours,0.0063254744105807,0.689064558629776,0.4913585,ROC,ours_full,Ours,,
Ours,0.0065171554533256,0.689064558629776,0.49131495,ROC,ours_full,Ours,,
Ours,0.0065171554533256,0.6956521739130435,0.48556998,ROC,ours_full,Ours,,
Ours,0.0067088364960705,0.6956521739130435,0.48442513,ROC,ours_full,Ours,,
Ours,0.0067088364960705,0.6982872200263505,0.48015594,ROC,ours_full,Ours,,
Ours,0.0069005175388154,0.6982872200263505,0.4801461,ROC,ours_full,Ours,,
Ours,0.0069005175388154,0.6989459815546772,0.47838357,ROC,ours_full,Ours,,
Ours,0.0070921985815602,0.6989459815546772,0.47799703,ROC,ours_full,Ours,,
Ours,0.0070921985815602,0.7002635046113307,0.47656935,ROC,ours_full,Ours,,
Ours,0.0072838796243051,0.7002635046113307,0.47566688,ROC,ours_full,Ours,,
Ours,0.0072838796243051,0.7009222661396575,0.47527322,ROC,ours_full,Ours,,
Ours,0.0076672417097949,0.7009222661396575,0.4737484,ROC,ours_full,Ours,,
Ours,0.0076672417097949,0.7015810276679841,0.47235775,ROC,ours_full,Ours,,
Ours,0.0078589227525397,0.7015810276679841,0.47223097,ROC,ours_full,Ours,,
Ours,0.0078589227525397,0.7035573122529645,0.4704631,ROC,ours_full,Ours,,
Ours,0.0080506037952846,0.7035573122529645,0.46998468,ROC,ours_full,Ours,,
Ours,0.0080506037952846,0.7094861660079052,0.46247426,ROC,ours_full,Ours,,
Ours,0.0082422848380295,0.7094861660079052,0.46240935,ROC,ours_full,Ours,,
Ours,0.0082422848380295,0.7121212121212122,0.45953462,ROC,ours_full,Ours,,
Ours,0.0084339658807743,0.7121212121212122,0.4592966,ROC,ours_full,Ours,,
Ours,0.0084339658807743,0.7160737812911726,0.4504217,ROC,ours_full,Ours,,
Ours,0.0086256469235192,0.7160737812911726,0.44946355,ROC,ours_full,Ours,,
Ours,0.0086256469235192,0.7233201581027668,0.44235253,ROC,ours_full,Ours,,
Ours,0.0088173279662641,0.7233201581027668,0.4411059,ROC,ours_full,Ours,,
Ours,0.0088173279662641,0.730566534914361,0.4330613,ROC,ours_full,Ours,,
Ours,0.009009009009009,0.730566534914361,0.4317591,ROC,ours_full,Ours,,
Ours,0.009009009009009,0.733201581027668,0.427932,ROC,ours_full,Ours,,
Ours,0.0092006900517538,0.733201581027668,0.4254539,ROC,ours_full,Ours,,
Ours,0.0092006900517538,0.7351778656126482,0.4187702,ROC,ours_full,Ours,,
Ours,0.0095840521372436,0.7351778656126482,0.41639444,ROC,ours_full,Ours,,
Ours,0.0095840521372436,0.7378129117259552,0.41397303,ROC,ours_full,Ours,,
Ours,0.0113091815219474,0.7378129117259552,0.40610906,ROC,ours_full,Ours,,
Ours,0.0113091815219474,0.738471673254282,0.4059494,ROC,ours_full,Ours,,
Ours,0.0116925436074372,0.738471673254282,0.40378657,ROC,ours_full,Ours,,
Ours,0.0116925436074372,0.7391304347826086,0.40300336,ROC,ours_full,Ours,,
Ours,0.0120759056929269,0.7391304347826086,0.4012842,ROC,ours_full,Ours,,
Ours,0.0120759056929269,0.7397891963109354,0.40055397,ROC,ours_full,Ours,,
Ours,0.0126509488211615,0.7397891963109354,0.39535102,ROC,ours_full,Ours,,
Ours,0.0126509488211615,0.7424242424242424,0.39168274,ROC,ours_full,Ours,,
Ours,0.0132259919493962,0.7424242424242424,0.39027664,ROC,ours_full,Ours,,
Ours,0.0132259919493962,0.7430830039525692,0.38930455,ROC,ours_full,Ours,,
Ours,0.013417672992141,0.7430830039525692,0.38801393,ROC,ours_full,Ours,,
Ours,0.013417672992141,0.7437417654808959,0.38747135,ROC,ours_full,Ours,,
Ours,0.0136093540348859,0.7437417654808959,0.38588777,ROC,ours_full,Ours,,
Ours,0.0136093540348859,0.7444005270092227,0.3857275,ROC,ours_full,Ours,,
Ours,0.0141843971631205,0.7444005270092227,0.3839043,ROC,ours_full,Ours,,
Ours,0.0141843971631205,0.7450592885375494,0.3835255,ROC,ours_full,Ours,,
Ours,0.0153344834195898,0.7450592885375494,0.3774175,ROC,ours_full,Ours,,
Ours,0.0153344834195898,0.7457180500658761,0.3766373,ROC,ours_full,Ours,,
Ours,0.0161012075905692,0.7457180500658761,0.37034637,ROC,ours_full,Ours,,
Ours,0.0161012075905692,0.7470355731225297,0.36915186,ROC,ours_full,Ours,,
Ours,0.0172512938470385,0.7470355731225297,0.36322135,ROC,ours_full,Ours,,
Ours,0.0172512938470385,0.7476943346508564,0.36268628,ROC,ours_full,Ours,,
Ours,0.0182096990607628,0.7476943346508564,0.3604468,ROC,ours_full,Ours,,
Ours,0.0182096990607628,0.7483530961791831,0.35942733,ROC,ours_full,Ours,,
Ours,0.0184013801035077,0.7483530961791831,0.35887015,ROC,ours_full,Ours,,
Ours,0.0184013801035077,0.7490118577075099,0.3582803,ROC,ours_full,Ours,,
Ours,0.0193597853172321,0.7490118577075099,0.35622165,ROC,ours_full,Ours,,
Ours,0.0193597853172321,0.7496706192358367,0.35604674,ROC,ours_full,Ours,,
Ours,0.0197431474027218,0.7496706192358367,0.3552677,ROC,ours_full,Ours,,
Ours,0.0197431474027218,0.7509881422924901,0.35417515,ROC,ours_full,Ours,,
Ours,0.0205098715737013,0.7509881422924901,0.3503336,ROC,ours_full,Ours,,
Ours,0.0205098715737013,0.7516469038208169,0.34949464,ROC,ours_full,Ours,,
Ours,0.0207015526164462,0.7516469038208169,0.34768787,ROC,ours_full,Ours,,
Ours,0.0207015526164462,0.7523056653491436,0.3458077,ROC,ours_full,Ours,,
Ours,0.0226183630438949,0.7523056653491436,0.34298345,ROC,ours_full,Ours,,
Ours,0.0226183630438949,0.7529644268774703,0.34211737,ROC,ours_full,Ours,,
Ours,0.0235767682576193,0.7529644268774703,0.33705088,ROC,ours_full,Ours,,
Ours,0.0235767682576193,0.7536231884057971,0.33667156,ROC,ours_full,Ours,,
Ours,0.0245351734713436,0.7536231884057971,0.3349642,ROC,ours_full,Ours,,
Ours,0.0245351734713436,0.7542819499341239,0.3349565,ROC,ours_full,Ours,,
Ours,0.0251102165995783,0.7542819499341239,0.33460754,ROC,ours_full,Ours,,
Ours,0.0251102165995783,0.7555994729907773,0.33321673,ROC,ours_full,Ours,,
Ours,0.025493578685068,0.7555994729907773,0.33044565,ROC,ours_full,Ours,,
Ours,0.025493578685068,0.7562582345191041,0.33022943,ROC,ours_full,Ours,,
Ours,0.0276020701552616,0.7562582345191041,0.32510898,ROC,ours_full,Ours,,
Ours,0.0276020701552616,0.7569169960474308,0.3246279,ROC,ours_full,Ours,,
Ours,0.0281771132834962,0.7569169960474308,0.32342705,ROC,ours_full,Ours,,
Ours,0.0281771132834962,0.7575757575757576,0.32031873,ROC,ours_full,Ours,,
Ours,0.0283687943262411,0.7575757575757576,0.32000706,ROC,ours_full,Ours,,
Ours,0.0283687943262411,0.7582345191040843,0.3197073,ROC,ours_full,Ours,,
Ours,0.0310523289246693,0.7582345191040843,0.31456926,ROC,ours_full,Ours,,
