threshold,afl_precision,afl_recall,afl_f1,macro_f1,accuracy
0.01,0.5491727941176469,0.7872200263504606,0.6469951272328669,0.7568036192631569,0.8063845582776541
0.014949494949494949,0.5771844660194172,0.7832674571805002,0.6646171045271803,0.771653477455909,0.821826280623608
0.0198989898989899,0.594676042189854,0.7799736495388665,0.6748361356506913,0.7801447016976926,0.8305864884929473
0.02484848484848485,0.6076014381099124,0.7793148880105397,0.6828282828277901,0.7864916026835067,0.836822568671121
0.029797979797979796,0.6209253417455307,0.7779973649538863,0.6906432748533071,0.7926848215065025,0.8429101707498144
0.03474747474747475,0.6281299946723492,0.7766798418972327,0.6945508100142328,0.7958113851562472,0.8460282108389012
0.039696969696969696,0.6351861845655691,0.7753623188405793,0.6983091070893889,0.7988030335924716,0.8489977728285077
0.04464646464646465,0.6394779771615005,0.7747035573122525,0.7006255585339098,0.800624259540119,0.8507795100222717
0.049595959595959596,0.6450549450549448,0.773386034255599,0.7034152186933325,0.8028524968321098,0.8530066815144766
0.05454545454545454,0.6513048306496387,0.7727272727272723,0.7068394094601842,0.8054933920517866,0.8555308092056422
0.059494949494949496,0.6560402684563755,0.7727272727272723,0.7096188747726426,0.8075839356156136,0.8574610244988864
0.06444444444444444,0.6627118644067793,0.7727272727272723,0.713503649634539,0.8104937222836349,0.8601336302895323
0.06939393939393938,0.6687571265678446,0.7727272727272723,0.716992665036177,0.8130952734871548,0.8625092798812175
0.07434343434343434,0.6741379310344824,0.7727272727272723,0.7200736648245478,0.815383483411348,0.8645879732739421
0.07929292929292929,0.6774566473988436,0.7720685111989455,0.7216748768467923,0.8166190858507633,0.8657757980697847
0.08424242424242423,0.6821885913853314,0.7720685111989455,0.7243510506793532,0.8185953025531367,0.8675575352635486
0.08919191919191918,0.6858147713950759,0.770750988142292,0.7258064516124044,0.819764439938796,0.8687453600593913
0.09414141414141414,0.6890459363957594,0.770750988142292,0.7276119402980087,0.8210909321153157,0.8699331848552339
0.09909090909090908,0.6914893617021273,0.770750988142292,0.7289719626163235,0.8220883204896978,0.8708240534521158
0.10404040404040403,0.6956004756242564,0.770750988142292,0.7312499999995008,0.8237554771178188,0.8723088344469191
0.10898989898989898,0.6972586412395705,0.770750988142292,0.732165206507636,0.8244240476768825,0.8729027468448404
